/*
// 注釋/例句
繁簡轉換前誤	正
给回路一平	給回路一平
// 解析錯誤 @ 《无敌大佬要出世》	«角色人名»	还有云家家主云为， (v:还有+nh:云家家+v:主+nh:云为)
还有云家	還有雲家
云家家主云为	雲家家主雲為
// 《无敌大佬要出世》	«角色人名»	七灵狐族族长胡卓亦开口道： (nz:七灵狐族+n:族长+nh:胡卓+d:亦+v:开口+v:道)
族长胡卓	族長胡卓
// 《无敌大佬要出世》	«角色人名»	七灵狐族少族长胡明成仍不敢相信， (nz:七灵狐族+n:少+n:族长+nh:胡明成+d:仍+d:不+v:敢+v:相信)
少族长胡明成	少族長胡明成


// 解析錯誤 @ 《平平无奇大师兄》	贫苦卷被窝， (n:贫苦卷+n:被窝)
贫苦卷被	貧苦捲被
// 《超神机械师》	直接卷掉了这具神灵化身的半个身子！ (a:直接+v:卷+v:掉+u:了+r:这+q:具+n:神灵+n:化身+u:的+m:半+q:个+n:身子+wp:！)
直接卷掉了	直接捲掉了
// 《平平无奇大师兄》	看到这挂，天机子面如死灰地看向陆长生，随后点了十下头，告知陆长生，这次凶的要命。 (~凶<VOB>v:告知 ~凶<role.type:ARGM-ADV>这次 ~凶<role.type:ARGM-EXT>要命 v:看到+r:这+q:挂+wp:，+nh:天机子+i:面如死灰+u:地+v:看+p:向+nh:陆长生+wp:，+d:随后+v:点+u:了+m:十+q:下+n:头+wp:，+v:告知+nh:陆长生+wp:，+r:这次+a:凶+u:的+v:要+n:命+wp:。)
这次凶的要命	這次凶的要命
// 《平平无奇大师兄》	凶到滔天！ (~凶<role.type:ARGM-EXT>滔天 a:凶+v:到+z:滔天+wp:！)
凶到滔天！	凶到滔天！


// 解析錯誤 @ 《烂柯棋缘》	余光中见到另外四人已经各自摆出架势。 (~餘光中<SBV>v:见到 nh:余光中+v:见到+r:另外+m:四+n:人+d:已经+r:各自+v:摆+v:出+n:架势+wp:。)
余光中见到另外	餘光中見到另外
// 解析錯誤 @ 《烂柯棋缘》	余光中的树木枝丫还是那么模糊， (~餘光中<ATT>n:树木 nh:余光中+u:的+n:树木+n:枝丫+d:还是+r:那么+a:模糊+wp:，)
余光中的树	餘光中的樹
// 《烂柯棋缘》	不论是眼前还是余光中， (~餘光中<VOB>c:还是 c:不论是+nt:眼前+c:还是+n:余光中+wp:。) (~餘光<ATT>nd:中 c:不论是+nt:眼前+c:还是+n:余光+nd:中+wp:，)
眼前还是余光中	眼前還是餘光中
// 解析錯誤 @ 《烂柯棋缘》	余光中有几个纸人提着篮子缓缓走来。 (~餘光中<SBV>v:有 nh:余光中+v:有+m:几+q:个+n:纸人+v:提+u:着+n:篮子+d:缓缓+v:走+v:来+wp:。)
余光中有几个	餘光中有幾個
// 解析錯誤 @ 《烂柯棋缘》	一侧余光中除了金甲力士的巨足， (~餘光中<SBV>p:除了 nd:一侧+n:余光中+p:除了+b:金甲力士+u:的+a:巨+n:足+wp:，)
一侧余光中	一側餘光中
// 解析錯誤 @ 《烂柯棋缘》	余光中小纸鹤已经飞得没影， (~餘光中<SBV>v:飞 nh:余光中+a:小+n:纸鹤+d:已经+v:飞+u:得+v:没影+wp:，)
余光中小纸鹤	餘光中小紙鶴
// 《烂柯棋缘》	而余光中，胡云身边的小尹青不知什么时候从怀里取出了一本书， (~餘光中<ADV>v:取出 c:而+nh:余光中+wp:，+nh:胡云+nl:身边+u:的+a:小+nh:尹青+v:不知+r:什么+n:时候+p:从+nl:怀里+v:取出+u:了+m:一+q:本+n:书+wp:，)
而余光中，胡云	而餘光中，胡雲
// 《第一序列》	那保镖余光中看到枪火便立刻放弃追逐骆馨雨， (~餘光中<SBV>v:看到 r:那+n:保镖+nh:余光中+v:看到+n:枪火+d:便+d:立刻+v:放弃+v:追逐+nh:骆馨雨+wp:，)
保镖余光中看到	保鏢餘光中看到


// 《第一序列》	仍不准，大家跟你一起死， (d:仍+v:不准+wp:，+r:大家+p:跟+r:你+d:一起+v:死+wp:，)
仍不准，大家跟你	仍不準，大家跟你
// 《第一序列》	等对方收下我的表， (~錶<VOB>v:收 v:等+n:对方+v:收+v:下+r:我+u:的+n:表+wp:，)
收下我的表，	收下我的錶，


// 解析錯誤 @ 《烂柯棋缘》	就是冲天地来的 (~衝天<ADV>v:来 d:就是+z:冲天+u:地+v:来+u:的) (~衝<ADV>v:来 d:就是+v:冲+n:天地+v:来+u:的)
冲天地来	衝天地來
// 《烂柯棋缘》	不可能只是复述之前面摊上的话吧， (~之前麵<ADV>v:摊上 d:不+v:可能+d:只是+v:复述+nd:之前面+v:摊上+u:的+n:话+u:吧+wp:，)
之前面摊上	之前麵攤上
// 《烂柯棋缘》	传说大贞权势最重的宰相尹兆先乃当世文曲，系文脉正统不说更是身具浩然正气， (~係<COO>v:乃 v:传说+nh:大贞+n:权势+d:最+a:重+u:的+n:宰相+nh:尹兆先+v:乃+v:当世+n:文曲+wp:，+v:系+n:文脉+a:正统+d:不说+d:更+v:是+n:身+v:具+z:浩然+n:正气+wp:，) (~係<ADV>v:具 ~係<role.type:A1>文脉正统 v:传说+a:大贞+n:权势+d:最+a:重+u:的+n:宰相+nh:尹兆先+v:乃+v:当世+n:文曲+wp:，+v:系+n:文脉+n:正统+c:不说+d:更+v:是+n:身+v:具+z:浩然+n:正气+wp:，)
系文脉正统	係文脈正統
// 《烂柯棋缘》	名曰云水流墨砚， (~雲水流墨硯<VOB>v:名曰 v:名曰+nz:云水流墨砚+wp:，) (~雲水<VOB>v:名曰 v:名曰+n:云水+v:流+n:墨+n:砚+wp:，)
曰云水流墨	曰雲水流墨
// 《烂柯棋缘》	割下的第一块肉用之前劈好的竹签扎上就直接递给计缘。 (~扎<COO>v:取出 ~扎<role.type:A1>他们对他的戒心 v:割+v:下+u:的+m:第一+q:块+n:肉+p:用+nd:之前+v:劈+a:好+u:的+n:竹签+v:扎+v:上+d:就+a:直接+v:递给+nh:计缘+wp:。) (~扎<role.type:A1>割下的第一块肉 ~扎<role.type:A2>用之前劈好的竹签 v:割+v:下+u:的+m:第一+q:块+n:肉+p:用+nd:之前+v:劈+a:好+u:的+n:竹签+v:扎+v:上+d:就+a:直接+v:递给+nh:计缘+wp:。)
竹签扎上就	竹籤扎上就
// 《烂柯棋缘》	有一缕青烟升起，烟丝笔直如柱， (~煙絲<SBV>z:笔直 v:有+m:一+q:缕+a:青+n:烟+v:升起+wp:，+n:烟丝+z:笔直+v:如+n:柱+wp:，)
烟丝笔直	煙絲筆直
// 解析錯誤 @ 《烂柯棋缘》	向应娘娘送上高峰一座， (~向應<ATT>n:娘娘 nh:向应+n:娘娘+v:送+v:上+n:高峰+m:一+q:座+wp:，)
向应娘娘	向應娘娘
// 解析錯誤 @ 《烂柯棋缘》	老牛猛然将手中的蛟龙掼向应若璃， (nh:老牛+d:猛然+p:将+nl:手中+u:的+n:蛟龙+v:掼+v:向应+v:若+n:璃+wp:，)
掼向应若璃	摜向應若璃
// fix 呆在→待在
// 《烂柯棋缘》	惊得无数人原本还在膜拜凤凰的百姓呆在原地。 (~呆<COO>v:看到 ~呆<role.type:A0>大多数宾客 ~呆<role.type:A0>无数人原本还在膜拜凤凰的百姓 ~呆<role.type:ARGM-LOC>在原地 v:惊+u:得+m:无数+n:人+d:原本+d:还+d:在+v:膜拜+n:凤凰+u:的+n:百姓+v:呆+p:在+n:原地+wp:。) (~呆<VOB>v:惊 ~呆<role.type:ARGM-ADV>原本 ~呆<role.type:ARGM-ADV>还 ~呆<role.type:A0>在膜拜凤凰的百姓 ~呆<role.type:ARGM-LOC>在原地 v:惊+u:得+m:无数+n:人+d:原本+d:还+p:在+v:膜拜+n:凤凰+u:的+n:百姓+v:呆+p:在+n:原地+wp:。)
膜拜凤凰的百姓呆在原地	膜拜鳳凰的百姓呆在原地
// 解析錯誤 @ 《烂柯棋缘》	有些修士得号舍名， (~捨名<COO>n:号 r:有些+n:修士+v:得+n:号+n:舍名+wp:，) (~捨<ATT>n:名 r:有些+n:修士+v:得+n:号+n:舍+n:名+wp:，)
得号舍名	得號捨名
// 《烂柯棋缘》	分为吉、中、凶， (~凶<COO>a:吉 v:分为+a:吉+wp:、+nd:中+wp:、+a:凶+wp:，)
吉、中、凶	吉、中、凶

// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	胡里心中一动， (~里<ADV>v:动 n:胡+nd:里+nl:心中+d:一+v:动+wp:，)
胡里心中	胡里心中
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	胡里皱起眉头， (~里<SBV>v:皱 n:胡+nd:里+v:皱+v:起+n:眉头+wp:，)
胡里皱起	胡里皺起
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	胡里已经装好了药材， (~里<SBV>v:装 n:胡+nd:里+d:已经+v:装+a:好+u:了+n:药材+wp:，)
胡里已经	胡里已經
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	听得胡里只觉头皮发麻。 (~里<ADV>v:觉 v:听+u:得+n:胡+nd:里+d:只+v:觉+n:头皮+v:发麻+wp:。)
胡里只觉	胡里只覺
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	大黑狗居然还抬起头来看向胡里， (~里<POB>p:向 a:大黑狗+d:居然+d:还+v:抬+v:起+n:头+v:来+v:看+p:向+n:胡+nd:里+wp:，)
看向胡里	看向胡里
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	胡里闻言下意识低头， (~胡里聞言<SBV>v:低头 i:胡里闻言+n:下意识+v:低头+wp:，)	而胡里闻言则对着众狐一声令下。 (~胡里聞言<SBV>i:一声令下 c:而+i:胡里闻言+d:则+v:对+u:着+n:众狐+i:一声令下+wp:。)
胡里闻言	胡里聞言
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	胡里一番话听得汪幽红和边上其他三妖顿觉无语， (~里<ADV>v:听 nh:胡+nd:里+n:一番话+v:听+u:得+nh:汪幽红+c:和+nd:边上+r:其他+m:三+n:妖+d:顿+v:觉+v:无语+wp:，)
胡里一番话	胡里一番話
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	这涂思远什么都敢说， (r:这+nh:涂思远)
涂思远	涂思遠
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	(r:我+v:叫+v:涂思烟+wp:，)	(wp:”+\n\n    nh:涂思烟+v:愣+u:了+m:一下+wp:，)
涂思烟	涂思煙
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	涂姑娘可醒了？ (v:涂+n:姑娘)
//涂姑娘	涂姑娘
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	(d:不+v:是+v:涂+n:山思烟+wp:？)	(n:八尾+n:妖狐+v:涂+v:思+n:烟)	(v:涂+n:思+n:烟+r:这+n:狐妖+d:不+v:能+p:以+n:常理+v:判断+wp:，)	(v:涂+n:思烟带+v:颤抖+u:的+n:声音+z:幽幽+v:传出+wp:，)	(v:穿+v:涂+n:思烟额+nd:前+c:而+v:过+wp:……)
//涂山思烟	塗山思煙
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	(nh:涂韵)	(d:不+v:想+v:让+v:涂韵+v:涉足+r:其中+wp:，)	(p:在+n:涂韵+u:的+n:感觉+nd:中)
涂韵	涂韻
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	(r:我+c:乃+n:玉+n:狐洞+n:天+v:涂逸)	(v:穿+a:破+n:雾霭+p:将+v:撼+n:山+n:印点+p:在+n:涂逸+n:手+nd:上+wp:。)	(nh:涂逸+v:直视+n:计缘+wp:，)
涂逸	涂逸
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	(m:一阵+a:模糊+u:的+n:光彩+p:自+v:涂欣+v:跳+v:开+u:的+n:位置+v:显化+wp:，)	(nh:涂欣+v:知道+nt:此刻+u:的+r:自己+v:对付+n:计缘+d:都+a:吃力+wp:，)	(v:带+u:着+c:或+a:尖锐+c:或+a:低沉+u:的+n:鸟+n:鸣+n:声+v:冲+p:向+z:涂欣+wp:。)	(d:也+d:只有+i:涂欣+v:皱眉+nd:之下+wp:，)
涂欣	涂欣
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	(r:那+nh:涂彤+c:和+v:涂+a:邈+n:面色+c:虽然+v:不见+v:变化+wp:，)	(c:既然+v:涂彤+c:和+v:涂+a:邈+r:这么+v:说+wp:，)
涂彤	涂彤
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	(wp:……”+\n\n    v:涂邈+v:说话+nd:间+d:已经+p:从+n:座位+nd:上+v:站+v:起来+wp:，)	(nh:涂彤+c:和+nh:涂邈+d:也+v:是+r:如此+wp:，)
涂邈	涂邈
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	(nl:近处+u:的+r:那些+v:包括+v:涂思思+u:在内+u:的+n:狐妖+wp:，)	(nh:涂思思+c:和+m:许多+n:狐妖+p:对+n:计缘+u:的+n:感观+p:与+nd:之前+d:已经+d:大+d:不+a:相同+wp:，)
涂思思	涂思思
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	(nh:孙一丘+r:这+v:会+d:已经+v:跑+v:到+u:了+nh:李冬冬+nl:身边+u:了+wp:，)
李冬冬	李冬冬
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	胡云本来十分兴奋的表情顿时拉松下来。 (nh:胡云+d:本来+m:十分+a:兴奋+u:的+n:表情+d:顿时+v:拉松+v:下来+wp:。)
胡云	胡雲
// 解析錯誤 @ 《烂柯棋缘》	«角色人名»	佑天佑心两兄弟则更希望选第二种， (~佑天佑心<ATT>n:兄弟 nz:佑天佑心+m:两+n:兄弟+d:则+d:更+v:希望+v:选+m:第二+q:种+wp:，)	佑天佑心， (~佑<COO>v:佑 ~佑<role.type:A1>心 v:佑+n:天+v:佑+n:心+wp:，)
佑天佑心	佑天佑心


// 解析錯誤 @ 《我的一天有48小时》	古人诚不余欺 (~余<SBV>v:欺 n:古人+a:诚+d:不+v:余+v:欺) (n:古人诚+d:不余欺)
诚不余欺	誠不余欺
// 《我的一天有48小时》	之前虽然也背着黑商联盟偷偷从其他船长手里收购过一批货物， (~背著<role.type:A1>黑商联盟 nd:之前+c:虽然+d:也+v:背着+n:黑商+n:联盟+d:偷偷+p:从+r:其他+n:船长+nl:手里+v:收购+u:过+m:一+q:批+n:货物+wp:，)
背着黑商联盟偷偷	背著黑商聯盟偷偷
// 《我的一天有48小时》	我每次和纳迪亚见面都是背着厨子的， (~背著<VOB>v:是 ~背著<role.type:A0>我 ~背著<role.type:ARGM-ADV>都 ~背著<role.type:A1>厨子 r:我+r:每次+p:和+nh:纳迪亚+v:见面+d:都+v:是+v:背着+n:厨子+u:的+wp:，)
都是背着厨子的	都是背著廚子的
// 《我的一天有48小时》	我们的前方呢，系珠江…… (~係<role.type:A0>我们的前方 ~係<role.type:A1>珠江 r:我们+u:的+nd:前方+u:呢+wp:，+v:系+ns:珠江+wp:……)
系珠江	係珠江
// 解析錯誤 @ 《我的一天有48小时》	«其他專有名詞»	像幕府第二次征长战争被高杉晋作打退， (m:第二+q:次+v:征+j:长+n:战争+p:被+nh:高杉晋作+v:打退) (m:第二+q:次+n:征长+n:战争) (~征長<ATT>n:战争 ~征長<parent.relate:FEAT>n:战争 m:第二+q:次+v:征长+n:战争)
征长战争	征長戰爭
// 《我的一天有48小时》	«其他專有名詞»	和胡里人相比， (~胡里人<POB>p:和 p:和+n:胡里人+v:相比+wp:，)
胡里人	胡里人
// 解析錯誤 @ 《我的一天有48小时》	«角色人名»
拉埃里	拉埃里
// 解析錯誤 @ 《我的一天有48小时》	加布里埃尔
加布里埃尔	加布里埃爾
// 《我的一天有48小时》	张恒又从那两千欧里拿出了一千来， (~歐裡<POB>p:从 nh:张恒+d:又+p:从+r:那+m:两千+q:欧里+v:拿+v:出+u:了+m:一千+v:来+wp:，)
那两千欧里拿出	那兩千歐裡拿出
// 《我的一天有48小时》	一周后他背着我和纺织厂进行私下的接触， (~背著<role.type:ARGM-TMP>一周后 ~背著<role.type:A0>他 ~背著<role.type:A1>我 m:一+q:周+nd:后+r:他+v:背着+r:我+p:和+n:纺织厂+v:进行+b:私下+u:的+v:接触+wp:，)
背着我和纺织厂	背著我和紡織廠
// 《我的一天有48小时》	温蒂呆在了原地。 (~呆<role.type:A0>温蒂 ~呆<role.type:A1>原地 nh:温蒂+v:呆+v:在+u:了+n:原地+wp:。)
温蒂呆在了原地	溫蒂呆在了原地
// 《我的一天有48小时》	你说他困吧， (~睏<VOB>v:说 ~睏<role.type:A0>他 r:你+v:说+r:他+a:困+u:吧+wp:，)
说他困吧	說他睏吧
// 《我的一天有48小时》	并没有被里面正背着他在做饭的厨师发现。 (~背著<ATT>n:厨师 ~背著<role.type:ARGM-ADV>正 ~背著<role.type:A1>他 d:并+d:没有+p:被+nd:里面+d:正+v:背着+r:他+d:在+v:做饭+u:的+n:厨师+v:发现+wp:。)
正背着他在做饭的	正背著他在做飯的
// denarius [[第納里烏斯]]
// 《我的一天有48小时》	我给你1迪纳里厄斯。 (~迪納里厄斯<VOB>v:给 r:我+v:给+r:你+m:1+nz:迪纳里厄斯+wp:。)
迪纳里厄斯	迪納里厄斯
// 《我的一天有48小时》	你背着耶梦加得帮我这么多忙， (~背著<role.type:A0>你 ~背著<role.type:A1>耶梦加得 r:你+v:背着+nh:耶梦加得+v:帮+r:我+r:这么+a:多+n:忙+wp:，)
背着耶梦加得帮我	背著耶夢加得幫我
// 《我的一天有48小时》	结果看到一个身影正背着他站在冰箱前， (~背著<VOB>v:看到 ~背著<role.type:A0>一个身影 ~背著<role.type:ARGM-ADV>正 ~背著<role.type:A1>他 c:结果+v:看到+m:一个+n:身影+d:正+v:背着+r:他+v:站+p:在+n:冰箱+nd:前+wp:，)
身影正背着他站在	身影正背著他站在
// 《我的一天有48小时》	您为什么要背着我们留下这样一个区域？ (~背著<role.type:A0>您 ~背著<role.type:ARGM-ADV>为什么 ~背著<role.type:A1>我们 r:您+r:为什么+v:要+v:背着+r:我们+v:留下+r:这样+m:一个+n:区域+wp:？)
为什么要背着我们	為什麼要背著我們
// 《我的一天有48小时》	他感觉刚才的自己就好像是背着含辛茹苦抚育孩子的老婆出轨的丈夫一样， (~背著<ATT>n:丈夫 r:他+v:感觉+nt:刚才+u:的+r:自己+d:就+v:好像+v:是+v:背着+i:含辛茹苦+v:抚育+n:孩子+u:的+n:老婆+v:出轨+u:的+n:丈夫+u:一样+wp:，)
就好像是背着含辛茹苦	就好像是背著含辛茹苦
// 《我的一天有48小时》	那个西卡布里人也一起起身。 (~西卡布里人<COO>n:老大 r:那个+n:西卡布里人+d:也+d:一起+v:起身+wp:。)
卡布里	卡布里
// 解析錯誤 @ 《我的一天有48小时》	发现他下定决心去跟踪你是在和一个叫月球漫步的网友聊过天后的事情。 (~天後<ATT>n:事情 v:发现+r:他+i:下定决心+v:去+v:跟踪+r:你+v:是+p:在+p:和+m:一个+v:叫+n:月球+v:漫步+u:的+n:网友+v:聊+u:过+n:天后+u:的+n:事情+wp:。)
的网友聊过天后的事情	的網友聊過天後的事情
// 《我的一天有48小时》	逾期未登录会被取消玩家资格。 (~登入<FOB>v:取消 ~登入<role.type:ARGM-ADV>逾期 ~登入<role.type:ARGM-ADV>未 v:逾期+d:未+v:登录+v:会+p:被+v:取消+n:玩家+n:资格+wp:。)
逾期未登录	逾期未登入


// 解析錯誤 @ 《剑仙三千万》	洞穿、汽化这三头天魔王后，秦林叶没有半点迟疑的身形一转， (~後<←ATT>v:穿 v:汽化+r:这+m:三+n:头+n:天+n:魔王+nd:后) (~後<ADV>v:转 v:洞穿+wp:、+v:汽化+r:这+m:三+q:头+n:天魔王+nd:后)
汽化这三头天魔王后	汽化這三頭天魔王後
// 《剑仙三千万》	他第一时间登录明化潜龙群。 (~登入<COO>v:服役 ~登入<role.type:A0>他 r:他+m:第一时间+v:登录+nz:明化潜龙群+wp:。) (~登入<role.type:A0>他 ~登入<role.type:ARGM-ADV>第一时间 ~登入<role.type:A1>明化潜龙群 r:他+m:第一时间+v:登录+nz:明化潜龙+n:群+wp:。)
登录明化潜龙群	登入明化潛龍群
// 《剑仙三千万》	很快登录了一个网站。 (~登入<COO>v:坐 ~登入<role.type:A0>秦林叶 ~登入<role.type:ARGM-DIS>那么 ~登入<role.type:ARGM-PRP>为了将这两亿六千万最大化利用 ~登入<role.type:A0>秦林叶 d:很快+v:登录+u:了+m:一个+n:网站+wp:。) (~登入<role.type:ARGM-ADV>很快 ~登入<role.type:A1>一个网站 d:很快+v:登录+u:了+m:一个+n:网站+wp:。)
登录了一个网站	登入了一個網站
// 《剑仙三千万》	一时间他将手机拿了出来登录自己的叮叮号， (~登入<COO>v:拿 ~登入<role.type:ARGM-TMP>一时间 ~登入<role.type:A0>他 nt:一时间+r:他+p:将+n:手机+v:拿+u:了+v:出来+v:登录+r:自己+u:的+o:叮叮号+wp:，) (~登入<COO>v:拿 ~登入<role.type:ARGM-ADV>一时间 ~登入<role.type:A0>他 ~登入<role.type:A1>自己的叮叮号 nt:一时间+r:他+p:将+n:手机+v:拿+u:了+v:出来+v:登录+r:自己+u:的+o:叮叮+n:号+wp:，)
登录自己的叮叮号	登入自己的叮叮號
// 《剑仙三千万》	通过登录虚无神域全部暴露出去了？ (~登入<POB>p:通过 ~登入<role.type:A1>虚无神域 p:通过+v:登录+a:虚无+n:神域+m:全部+v:暴露+v:出去+u:了+wp:？)
登录虚无神域	登入虛無神域
// 《剑仙三千万》	时光沙漏学府教授拥有登录时光之塔虚拟宇宙信息库的权限， (~登入<ATT>n:权限 ~登入<role.type:A1>时光之塔虚拟宇宙信息库 n:时光+n:沙漏+n:学府+n:教授+v:拥有+v:登录+n:时光+u:之+n:塔+v:虚拟+n:宇宙+n:信息库+u:的+n:权限+wp: ，)
登录时光之塔	登入時光之塔


// 《大奉打更人》	他鼓胀气机，海浪般的冲击着笼罩自身的禁锢。 (~沖擊<COO>v:鼓 r:他+v:鼓+n:胀气机+wp:，+n:海浪+u:般+u:的+v:冲击+u:着+v:笼罩+r:自身+u:的+v:禁锢+wp:。) (~沖擊<COO>n:鼓胀气机 ~沖擊<role.type:ARGM-ADV>海浪般的 ~沖擊<role.type:A1>笼罩自身的禁锢 r:他+n:鼓胀气机+wp:，+n:海浪+u:般+u:的+v:冲击+u:着+v:笼罩+r:自身+u:的+v:禁锢+wp:。)
浪般的冲击着	浪般的沖擊著

// 顿时感觉一阵热气涌来，浑身的寒意都被冲散了。
// 《烂柯棋缘》	浑身的寒意都被冲散了。 (~沖<role.type:A1>浑身的寒意 ~沖<role.type:ARGM-ADV>都 n:浑身+u:的+n:寒意+d:都+p:被+v:冲+a:散+u:了+wp:。)
寒意都被冲散	寒意都被沖散
// 沖散: （水流等）​撞擊。沖擊使離散。
// 身上气势爆发，刺杀而出那片山崩海啸般的剑势居然再盛一筹，隐隐干扰了百里青锋的炼神秘术，连刚爆发出至强一击的先天神魔祖兹都要冲散一般。
// 《咫尺之间人尽敌国》	连刚爆发出至强一击的先天神魔祖兹都要冲散一般。 (~沖<role.type:ARGM-ADV>都 u:连+d:刚+v:爆发+v:出+d:至+a:强+m:一+v:击+u:的+n:先天+n:神魔+nh:祖兹+d:都+v:要+v:冲+v:散+u:一般+wp:。)
祖兹都要冲散	祖茲都要沖散
// 《大奉打更人》	反而泼出杯中酒水，冲散了头顶的乌云。 (~沖散<COO>v:泼 ~沖散<role.type:ARGM-DIS>反而 ~沖散<role.type:A1>头顶的乌云 d:反而+v:泼+v:出+nl:杯中+n:酒水+wp:，+v:冲散+u:了+n:头顶+u:的+n:乌云+wp:。)
酒水，冲散	酒水，沖散
// 《大奉打更人》	气息上震九霄，冲散云层。 (~沖散<COO>v:震 ~沖散<role.type:A0>气息 ~沖散<role.type:A1>云层 n:气息+v:上+v:震+n:九霄+wp:，+v:冲散+n:云层+wp:。)
冲散云层	沖散雲層
// 《大奉打更人》	这股怅然就被喜悦冲散： (~沖散<role.type:A1>这股怅然 ~沖散<role.type:ARGM-ADV>就 ~沖散<role.type:A0>喜悦 r:这+q:股+a:怅然+d:就+p:被+a:喜悦+v:冲散+wp:：)
被喜悦冲散	被喜悅沖散
// 《大奉打更人》	四周传来哄笑声，冲散了队伍里凝重严肃的气氛。 (~沖散<COO>v:传来 ~沖散<role.type:A1>队伍里凝重严肃的气氛 nd:四周+v:传来+n:哄笑声+wp:，+v:冲散+u:了+n:队伍+nd:里+z:凝重+a:严肃+u:的+n:气氛+wp:。)
声，冲散了	聲，沖散了
// 《大奉打更人》	法相崩溃溢散出的能量，朝着四面八方肆虐,冲散了下方的云海, (~沖散<COO>v:肆虐 ~沖散<role.type:A0>法相崩溃溢散出的能量 ~沖散<role.type:ARGM-DIR>朝着四面八方 ~沖散<role.type:A1>下方的云海 n:法相+v:崩溃+v:溢散+v:出+u:的+n:能量+wp:，+p:朝着+i:四面八方+v:肆虐+wp:,+v:冲散+u:了+nd:下方+u:的+n:云海+wp:,)
冲散了下方的	沖散了下方的
// 《大奉打更人》	像是被某种力量硬生生的从中心冲散， (~沖散<VOB>v:像是 ~沖散<role.type:A0>某种力量 ~沖散<role.type:ARGM-ADV>硬生生的 ~沖散<role.type:ARGM-DIR>从中心 v:像是+p:被+r:某种+n:力量+d:硬生生+u:的+p:从+n:中心+v:冲散+wp:，)
从中心冲散	從中心沖散
// 《我的一天有48小时》	徐倩随后将今天刚收到的那只百达翡丽也放在了张恒的手上， (~只<ATT>nz:百达翡丽 nh:徐倩+nd:随后+p:将+nt:今天+d:刚+v:收到+u:的+r:那+q:只+nz:百达翡丽+d:也+v:放在+u:了+nh:张恒+u:的+nl:手上+wp:，)
那只百达翡丽	那只百達翡麗


// 解析錯誤 @ 《一品修仙》	霉染九星 (v:霉+v:染+n:九星) (n:霉+v:染+m:九+n:星) (n:霉+v:染+n:九星) (v:霉染+n:九星) (v:霉染+m:九星+wp:，)
霉染九星	霉染九星
// 解析錯誤 @ 《一品修仙》	«角色人名»	(n:少女+u:的+n:名字+v:叫+nh:长孙冲+wp:，)	(v:外出+u:的+ns:长孙冲+wp:，)
// 解析錯誤 @ 《一品修仙》	«角色人名»	(d:就+v:是+v:如同+a:长+nh:孙+v:冲+wp:，)
// 解析錯誤 @ 《一品修仙》	«角色人名»	(nh:秦阳+p:将+v:长+nh:孙冲+v:残留+u:的+n:记忆+d:大致+v:扫+u:了+m:一+q:遍+nd:之后+wp:，)
长孙冲	長孫沖
// 解析錯誤 @ 《一品修仙》	«角色人名»	(wp:“+i:西谷道长+wp:，)	(wp:“+ns:西谷道长+wp:，)	(nh:西谷+n:道长)
// 解析錯誤 @ 《一品修仙》	«角色人名»	(c:若是+ns:西谷道+a:长+v:觉得+d:不+a:方便+d:就+v:算+u:了+wp:。)
西谷道长	西谷道長


// 解析錯誤 @ 《一品修仙》	«角色人名»	(nh:余子清)
// 解析錯誤 @ 《一品修仙》	«角色人名»	(v:是+m:一个+d:自称+n:余子+a:清+u:的+n:人+v:送+v:来+u:的+wp:，)
余子清	余子清
// 解析錯誤 @ 《一品修仙》	«角色人名»	有个自称姓余字子清的造假大师留信， (v:自称+v:姓+nh:余+n:字+nh:子清+u:的+v:造假+n:大师) (v:有+q:个+v:自称+v:姓+nh:余字子清+u:的+v:造假+n:大师+v:留信+wp:。) (v:有+q:个+v:自称+v:姓+n:余字子清+u:的+v:造假+n:大师+v:留+n:信)
余字子清	余字子清
姓余	姓余
// 《大奉打更人》	百姓余粮不多， (~餘糧<SBV>a:多 n:百姓+n:余粮+d:不+a:多+wp:，)
百姓余粮	百姓餘糧



